framenum,queue density,dynamic density
3,0.0629243,0.0273555
6,0.0732976,0.0821586
12,0.0905485,0.0584571
9,0.0862137,0.047885
18,0.0970212,0.072455
15,0.0942246,0.0666004
24,0.101963,0.0352707
21,0.100208,0.0509945
30,0.11085,0.0695663
36,0.114099,0.110239
27,0.107126,0.0481941
42,0.117094,0.105809
33,0.112561,0.0843223
48,0.119026,0.0855697
39,0.115961,0.11167
54,0.121952,0.0460157
60,0.126452,0.0428658
45,0.119059,0.0966054
66,0.126213,0.033935
51,0.119729,0.0747806
72,0.129536,0.0231274
57,0.125017,0.0387077
78,0.131041,0.0261854
63,0.126029,0.0305349
84,0.139762,0.0456441
69,0.128093,0.0293389
90,0.16523,0.0608784
75,0.131181,0.0194513
96,0.168332,0.0678148
81,0.135928,0.0349653
102,0.173649,0.0409339
87,0.152074,0.0619565
108,0.17759,0.0587993
93,0.17136,0.0583209
114,0.195639,0.0696988
99,0.171975,0.0582988
105,0.174249,0.0431823
120,0.206167,0.11287
111,0.18662,0.0681643
126,0.210388,0.0832735
132,0.216033,0.105772
117,0.204096,0.101544
138,0.219396,0.0950231
123,0.208817,0.113242
144,0.22011,0.0812901
129,0.212824,0.0917444
150,0.219849,0.0865853
135,0.217354,0.106644
156,0.216651,0.0636198
141,0.220574,0.0849846
162,0.211142,0.0489632
147,0.219164,0.0797961
168,0.206889,0.0441317
153,0.219047,0.0703501
174,0.20131,0.0135416
159,0.213453,0.0634395
180,0.198131,0.00792994
186,0.196122,0.0121874
165,0.208714,0.056768
192,0.194418,0.00733381
171,0.203919,0.0292837
198,0.193836,0.00680392
177,0.199544,0.0177807
204,0.194569,0.00750676
183,0.197498,0.00837519
210,0.194296,0.00911115
189,0.195599,0.00767603
216,0.194237,0.0159887
195,0.193318,0.0072087
222,0.194127,0.00776435
201,0.19402,0.0126842
228,0.194547,0.00745156
207,0.193925,0.00824272
234,0.195857,0.00838991
213,0.194532,0.00802193
240,0.191875,0.0091921
219,0.194168,0.00815808
246,0.193226,0.00923994
225,0.194057,0.00762083
252,0.1926,0.00740741
231,0.19462,0.00911115
258,0.193104,0.0149215
237,0.194984,0.00819856
264,0.192994,0.00779746
243,0.192828,0.0107119
270,0.192777,0.00855918
249,0.193185,0.00908907
276,0.192927,0.0127946
255,0.192593,0.00818752
282,0.195864,0.0142555
261,0.193373,0.0116134
288,0.200707,0.0243602
294,0.194197,0.0143364
267,0.193226,0.00838991
300,0.189969,0.0106015
273,0.192648,0.00702471
306,0.189884,0.00551232
279,0.19384,0.0115251
312,0.193553,0.00759508
285,0.199912,0.0198672
318,0.194984,0.00773491
291,0.197211,0.0253132
324,0.194237,0.00565951
297,0.191275,0.00954536
330,0.194469,0.00627035
303,0.189502,0.00795202
336,0.194171,0.00691432
309,0.191754,0.00666409
342,0.196177,0.0072271
315,0.195014,0.00756564
