framenum,queue density,dynamic density
3,0.0646519,0.0501926
6,0.0752444,0.0435407
9,0.0884741,0.0329926
12,0.0923852,0.0643852
15,0.0964,0.0629333
18,0.0991704,0.0510074
21,0.102326,0.0496889
24,0.104089,0.0301037
27,0.109244,0.00792593
30,0.113215,0.0291259
33,0.115067,0.0802815
36,0.116356,0.119896
39,0.118607,0.11957
42,0.11963,0.0977333
45,0.12077,0.0374815
48,0.121244,0.0437778
51,0.121259,0.0543407
54,0.122859,0.0291852
57,0.124993,0.029437
60,0.125615,0.0525778
63,0.125941,0.0244593
66,0.127319,0.0515704
69,0.129037,0.0219111
72,0.130104,0.0439556
75,0.132222,0.000903704
78,0.132133,0.0226519
81,0.137911,0
84,0.142341,0.0310963
87,0.154356,0.0266074
90,0.167585,0.0517185
93,0.17403,0.0755704
96,0.170385,0.0700296
99,0.174533,0.0424
102,0.175763,0.0610519
105,0.176756,0.0491111
108,0.179185,0.0297037
111,0.188207,0.0536741
114,0.197733,0.0796296
117,0.205378,0.103215
120,0.207407,0.122563
123,0.210133,0.126015
126,0.210785,0.064963
129,0.213748,0.0622222
132,0.21677,0.0408889
135,0.219111,0.036563
138,0.22077,0.0706667
141,0.221941,0.0549037
144,0.221926,0.0507111
147,0.220237,0.0225185
150,0.22117,0.0180593
153,0.220104,0.017837
156,0.217452,0
159,0.213689,0
162,0.211926,0.0186963
165,0.209022,0
168,0.207126,0.0164
171,0.204326,0
174,0.201807,0.0191852
177,0.20003,0
180,0.198415,0
183,0.197541,0
186,0.196548,0
189,0.195467,0.0134815
192,0.195378,0.017763
195,0.194,0.0112741
198,0.194281,0.0155704
201,0.194889,0.0108444
204,0.195467,0
207,0.194933,0
210,0.195274,0
213,0.195126,0.0137926
216,0.195126,0.00623704
219,0.195363,0.00943704
222,0.194844,0
225,0.194593,0
228,0.195333,0.00586667
231,0.195496,0
234,0.196785,0
237,0.195659,2.96296e-05
240,0.192474,0
243,0.193674,0.0135111
246,0.193941,0.00942222
249,0.193778,0.0199407
252,0.193141,0.0172741
255,0.193156,0.0104593
258,0.193778,0.0106222
261,0.194237,0
264,0.19397,0.011363
267,0.19403,0
270,0.192652,0.0204148
273,0.192519,0.0179852
276,0.192948,0.012
279,0.193244,0.00257778
282,0.195452,0.00791111
285,0.198548,0.0258815
288,0.1984,0.0275259
291,0.194711,0.0314667
294,0.192015,0
297,0.190652,0.0046963
300,0.190015,0
303,0.190059,0.0140741
306,0.190711,0.00755556
309,0.192222,0.0125333
312,0.193852,0.0130667
315,0.195689,0
318,0.195289,0.012
321,0.194741,0
324,0.194474,0.0096
327,0.194459,0.0198815
330,0.194874,0
333,0.194459,0
336,0.194681,0.0172148
339,0.194711,0
342,0.196296,0.0136444
345,0.196622,0.0258222
348,0.198756,0.0389333
351,0.197274,0.0443556
354,0.195867,0.0474667
357,0.196,0.0388148
360,0.196119,0.0311852
363,0.196015,0.0315407
366,0.195852,0.0314074
369,0.196267,0.0305333
372,0.197319,0.0286074
375,0.197556,0.0421778
378,0.197052,0.0257185
381,0.196415,0.0120444
384,0.197719,0
387,0.202415,0.00628148
390,0.2052,0.014237
393,0.20637,0
396,0.208089,0
399,0.209007,0.00663704
402,0.210444,0
405,0.211081,0.0410074
408,0.213556,0.0547111
411,0.220593,0.0689037
414,0.229037,0.101896
417,0.234607,0.106044
420,0.2388,0.11963
423,0.246119,0.160341
426,0.255793,0.179778
429,0.263185,0.158607
432,0.270104,0.157067
435,0.277659,0.138133
438,0.281585,0.166015
441,0.2844,0.169289
444,0.289822,0.158252
447,0.293363,0.13523
450,0.301719,0.135985
453,0.309437,0.097763
456,0.312696,0.0397481
459,0.314741,0
462,0.316681,0.0152444
465,0.320815,0.0167852
468,0.320281,0.0167111
471,0.319704,0.0127407
474,0.320533,0
477,0.323807,0
480,0.326044,0
483,0.326341,0
486,0.327052,0
489,0.327956,0
492,0.329422,0
495,0.325763,0
498,0.327511,0
501,0.333644,0.0129778
504,0.345067,0.0102815
507,0.355185,0.00419259
510,0.365896,0.0216889
513,0.370222,0.0277037
516,0.372696,0.0717185
519,0.376504,0.0729037
522,0.383393,0.0752741
525,0.386948,0.0849926
528,0.389467,0.0806074
531,0.390933,0.0897185
534,0.394533,0.0807852
537,0.397363,0.0779111
540,0.398993,0.0720593
543,0.400533,0.0484741
546,0.401081,0.0312741
549,0.402993,0.0190815
552,0.402874,0
555,0.401126,0
558,0.399689,0.0142963
561,0.396059,0.0181185
564,0.394578,0.0156444
567,0.393941,0
570,0.389067,0
573,0.393956,0.017763
576,0.400696,0.0165037
579,0.407319,0.021837
582,0.41397,0.0400444
585,0.419393,0.0209185
588,0.423496,0.0394815
591,0.428207,0.022237
594,0.429378,0.000148148
597,0.430904,0.000503704
600,0.435837,0
603,0.440356,0
606,0.444074,0.00967407
609,0.450519,0.00994074
612,0.456607,0
615,0.462711,0.0110963
618,0.46637,0.0123259
621,0.4732,0
624,0.478978,0
627,0.48443,0
630,0.488741,0.0194667
633,0.491274,0
636,0.493304,0.0127556
639,0.493985,0
642,0.493378,0.0226963
645,0.494859,0.0102222
648,0.497526,0.00801481
651,0.503126,0
654,0.50757,0
657,0.510726,0.011363
660,0.513881,0
663,0.519052,0
666,0.522711,0.018637
669,0.526415,0
672,0.524844,0.00954074
675,0.526148,0
678,0.529333,0
681,0.53077,0.00641481
684,0.53163,0
687,0.532548,0
690,0.533437,0.0267407
693,0.535733,0
696,0.532163,0.0124593
699,0.535067,0
702,0.535748,0.0220296
705,0.536681,0
708,0.536874,0.0131407
711,0.537807,0
714,0.539111,0.0205037
717,0.539526,0
720,0.531896,0.0112593
723,0.533511,0
726,0.533333,0.0102519
729,0.533126,0
732,0.53243,0.0108
735,0.531274,0
738,0.528815,0
741,0.527526,0
744,0.527585,0.0115704
747,0.523333,0
750,0.523689,0.0163259
753,0.523141,0
756,0.522652,0
759,0.522889,0
762,0.522681,0.0107111
765,0.521496,0
768,0.519215,0
771,0.511304,0
774,0.511807,0
777,0.512815,0
780,0.514267,0
783,0.514459,0.0133037
786,0.514519,0
789,0.516548,0
792,0.520059,0.0159556
795,0.524756,0
798,0.530726,0
801,0.53443,0
804,0.537852,0.0135407
807,0.539259,0
810,0.541215,0.0237037
813,0.545096,0
816,0.5492,0
819,0.551363,0
822,0.557659,0
825,0.559719,0
828,0.561896,0
831,0.563067,0.0120593
834,0.562163,0.0189037
837,0.561585,0
840,0.561319,0.0170074
843,0.5616,0
846,0.560311,0.0215111
849,0.561333,0
852,0.561156,0.0119704
855,0.561452,0
858,0.561422,0.0121926
861,0.562193,0
864,0.562519,0
867,0.563126,0
870,0.5608,0
873,0.56283,0
876,0.563615,0
879,0.564622,0.0113333
882,0.562815,0.0207852
885,0.561852,0
888,0.561896,0
891,0.562296,0
894,0.563822,0
897,0.564978,0
900,0.565793,0.0163704
903,0.565215,0
906,0.560489,0.0196593
909,0.562296,0.0166519
912,0.562459,0.015437
915,0.560133,0.0133037
918,0.556207,0
921,0.554444,0
924,0.553659,0
927,0.553511,0
930,0.551007,0.0146963
933,0.551333,0
936,0.553748,0
939,0.55637,0
942,0.559778,0.0239111
945,0.560356,0
948,0.559941,0
951,0.559585,0
954,0.558948,0.0113778
957,0.557304,0
960,0.557852,0.0165333
963,0.559422,0.0187704
966,0.5592,0
969,0.560015,0
972,0.561304,0.0226667
975,0.563333,0
978,0.564652,0.0115111
981,0.563274,0
984,0.564356,0.0127259
987,0.563704,0
990,0.563259,0.0205926
993,0.56317,0
996,0.564326,0
999,0.561822,0
1002,0.559363,0.010163
1005,0.555778,5.92593e-05
1008,0.556578,0
1011,0.557896,0.0026963
1014,0.558296,0
1017,0.556444,0
1020,0.556178,0.00785185
1023,0.55637,0
1026,0.556074,0
1029,0.555748,0
1032,0.55603,0
1035,0.556341,0
1038,0.555037,0
1041,0.555956,0
1044,0.55757,0
1047,0.557852,0
1050,0.557259,0
1053,0.557644,0
1056,0.557585,0
1059,0.556859,0
1062,0.552148,0
1065,0.552341,0
1068,0.552237,0
1071,0.552756,0
1074,0.553259,0
1077,0.554504,0
1080,0.554281,0
1083,0.554993,0
1086,0.552148,0
1089,0.554222,0
1092,0.554296,0
1095,0.556474,0
1098,0.557407,0
1101,0.557037,0
1104,0.557807,1.48148e-05
1107,0.557081,0
1110,0.557452,0.0136741
1113,0.554326,0
1116,0.555185,0
1119,0.554089,0
1122,0.554859,0
1125,0.554267,0
1128,0.557674,0.00140741
1131,0.558267,0.000562963
1134,0.557852,0.00251852
1137,0.557052,0.00539259
1140,0.557289,0.0121037
1143,0.556578,0
1146,0.556948,0
1149,0.557393,0.000118519
1152,0.557822,0
1155,0.556237,0.000725926
1158,0.556563,0
1161,0.555541,0
1164,0.558267,0
1167,0.557615,0
1170,0.554637,0
1173,0.555422,5.92593e-05
1176,0.55437,0
1179,0.553289,0
1182,0.551348,0
1185,0.552785,0
1188,0.550519,0
1191,0.549763,0
1194,0.550341,0
1197,0.551052,0
1200,0.550696,0
1203,0.550015,0
1206,0.550385,0.000118519
1209,0.55123,0
1212,0.548859,0
1215,0.549052,0
1218,0.549319,0
1221,0.550385,0
1224,0.550489,1.48148e-05
1227,0.550237,0
1230,0.552133,0.00739259
1233,0.551689,0
1236,0.551867,0
1239,0.552,0
1242,0.554311,0
1245,0.554059,0
1248,0.552933,0
1251,0.553156,0
1254,0.552044,0
1257,0.552059,0
1260,0.551393,0
1263,0.550385,0
1266,0.550326,0
1269,0.551126,4.44444e-05
1272,0.552163,0
1275,0.551778,0
1278,0.552844,0
1281,0.553141,0
1284,0.552281,0
1287,0.550178,0
1290,0.552667,0
1293,0.553096,0
1296,0.553526,0
1299,0.555467,0
1302,0.555037,0.000266667
1305,0.554444,0
1308,0.554059,0
1311,0.551244,0
1314,0.550519,2.96296e-05
1317,0.548919,0
1320,0.549689,0.00914074
1323,0.549778,0
1326,0.54917,0
1329,0.548222,0
1332,0.548859,0
1335,0.548578,0
1338,0.548726,0
1341,0.549274,0
1344,0.550385,0
1347,0.551867,0
1350,0.552504,0.0117481
1353,0.55443,0.00925926
1356,0.556578,0
1359,0.557674,0.00511111
1362,0.557037,0.0105037
1365,0.557926,0
1368,0.555985,0.00765926
1371,0.556089,0
1374,0.554726,0.0130667
1377,0.552844,0
1380,0.551407,0
1383,0.55,0
1386,0.544563,0
1389,0.545793,0
1392,0.546474,0
1395,0.546281,0
1398,0.544948,0
1401,0.545111,0
1404,0.544474,0
1407,0.543793,0
1410,0.543304,0.00792593
1413,0.536978,0
1416,0.538252,0
1419,0.539081,0.0122963
1422,0.540622,0.0117333
1425,0.542667,0
1428,0.544578,0
1431,0.54877,0.0138963
1434,0.552281,0.00976296
1437,0.550978,0.0144593
1440,0.555378,0
1443,0.559896,0
1446,0.561807,0
1449,0.563837,0
1452,0.565022,0.000103704
1455,0.56603,0
1458,0.567007,0
1461,0.564578,0.000148148
1464,0.565274,0.00161481
1467,0.565022,0.000755556
1470,0.562919,0.000711111
1473,0.561748,0.0104148
1476,0.561689,0.0258815
1479,0.553896,0.047037
1482,0.5512,0.0582667
1485,0.545926,0.0501185
1488,0.535556,0.0458074
1491,0.528667,0.0620444
1494,0.51963,0.0679852
1497,0.515526,0.0876889
1500,0.507067,0.114356
1503,0.502548,0.100356
1506,0.497304,0.0583259
1509,0.492044,0.064563
1512,0.476385,0.0345185
1515,0.471719,0.0917037
1518,0.462267,0.0930667
1521,0.456267,0.130163
1524,0.450933,0.13603
1527,0.446696,0.130548
1530,0.448089,0.165259
1533,0.44597,0.187644
1536,0.441096,0.171941
1539,0.441037,0.18523
1542,0.440207,0.235215
1545,0.439185,0.230148
1548,0.441867,0.316
1551,0.438667,0.374667
1554,0.437748,0.344993
1557,0.440311,0.365007
1560,0.444222,0.422622
1563,0.4496,0.454252
1566,0.454904,0.442889
1569,0.458015,0.462044
1572,0.457674,0.51083
1575,0.459407,0.585793
1578,0.463941,0.613837
1581,0.4708,0.593304
1584,0.473541,0.604104
1587,0.473496,0.642252
1590,0.471985,0.652415
1593,0.469956,0.656104
1596,0.473481,0.675052
1599,0.480474,0.698963
1602,0.495126,0.673437
1605,0.503526,0.684015
1608,0.5084,0.706785
1611,0.496607,0.702622
1614,0.494889,0.681541
1617,0.484178,0.688533
1620,0.468933,0.657244
1623,0.461689,0.631215
1626,0.458444,0.582207
1629,0.453244,0.576993
1632,0.452207,0.558637
1635,0.450281,0.490578
1638,0.446933,0.376756
1641,0.439689,0.416237
1644,0.43437,0.437763
1647,0.428533,0.565926
1650,0.424563,0.547481
1653,0.421956,0.524622
1656,0.419556,0.502
1659,0.417067,0.551852
1662,0.411037,0.558681
1665,0.409111,0.546874
1668,0.410741,0.53843
1671,0.409719,0.566163
1674,0.410148,0.604326
1677,0.410593,0.609985
1680,0.414207,0.58923
1683,0.416948,0.548296
1686,0.413807,0.546119
1689,0.424681,0.471763
1692,0.435704,0.517215
1695,0.446919,0.433659
1698,0.458074,0.480178
1701,0.465852,0.461081
1704,0.47317,0.468193
1707,0.474119,0.433674
1710,0.459215,0.486667
1713,0.451733,0.507422
1716,0.450578,0.506637
1719,0.441526,0.47997
1722,0.434548,0.520637
1725,0.431259,0.489126
1728,0.426593,0.493156
1731,0.412311,0.482519
1734,0.403363,0.521496
1737,0.405259,0.465748
1740,0.400385,0.488207
1743,0.394874,0.412785
1746,0.38477,0.474104
1749,0.372933,0.497007
1752,0.369289,0.548207
1755,0.367896,0.525822
1758,0.361289,0.526119
1761,0.349719,0.497748
1764,0.341733,0.471926
1767,0.340178,0.501333
1770,0.34323,0.521244
1773,0.346444,0.512489
1776,0.33963,0.533496
1779,0.330756,0.479007
1782,0.324652,0.492519
1785,0.320133,0.497911
1788,0.310459,0.499659
1791,0.305052,0.435719
1794,0.288652,0.434504
1797,0.275126,0.454711
1800,0.272637,0.449274
1803,0.267274,0.452044
1806,0.261378,0.429393
1809,0.257867,0.449319
1812,0.237496,0.407496
1815,0.229185,0.414667
1818,0.2224,0.383096
1821,0.222207,0.382415
1824,0.22197,0.37963
1827,0.223585,0.352326
1830,0.230993,0.35243
1833,0.22723,0.417215
1836,0.222948,0.401289
1839,0.220607,0.434415
1842,0.211704,0.406267
1845,0.203333,0.371215
1848,0.192489,0.291304
1851,0.170281,0.265911
1854,0.147659,0.222504
1857,0.142652,0.210119
1860,0.142904,0.202607
1863,0.138993,0.221378
1866,0.134504,0.221496
1869,0.152104,0.22917
1872,0.171541,0.286193
1875,0.175467,0.280533
1878,0.187126,0.322919
1881,0.206341,0.334622
1884,0.22557,0.300756
1887,0.24643,0.278533
1890,0.271037,0.284578
1893,0.292133,0.23883
1896,0.307467,0.174681
1899,0.324963,0.199911
1902,0.353274,0.166015
1905,0.375615,0.188311
1908,0.388222,0.186237
1911,0.373363,0.330948
1914,0.350563,0.36237
1917,0.328519,0.288474
1920,0.313985,0.234444
1923,0.303393,0.192207
1926,0.28843,0.2308
1929,0.268652,0.194459
1932,0.246696,0.223852
1935,0.228741,0.22323
1938,0.215585,0.238933
1941,0.205289,0.227793
1944,0.197304,0.257556
1947,0.186015,0.256415
1950,0.173807,0.226119
1953,0.150622,0.197333
1956,0.122059,0.157719
1959,0.097363,0.111644
1962,0.0704148,0.100311
1965,0.0489185,0.0318963
1968,0.0311259,0.0168148
1971,0.0129481,0.0151852
1974,0.00355556,0.0111407
1977,0.00235556,0.0042963
1980,0.00268148,0
1983,0.00262222,0
1986,0.00435556,0
1989,0.0045037,0
1992,0.00405926,0
