framenum,queue density,dynamic density
3,0.0638133,0.026432
6,0.0738293,0.043664
9,0.0862133,0.0135307
12,0.090448,0.006128
15,0.094208,0.0117013
18,0.097728,0.029712
21,0.100811,0.0178827
24,0.102757,0.010656
27,0.107829,0.0168693
30,0.112144,0.0392107
33,0.114187,0.0201067
36,0.116016,0.0120053
39,0.117979,0.03352
42,0.11936,0.048768
45,0.121173,0.0766453
48,0.12144,0.074096
51,0.12216,0.0245173
54,0.124971,0.00446933
57,0.128501,0.006832
60,0.131211,0.00856
63,0.130288,0.011744
66,0.129744,0.019792
69,0.1316,0.011088
72,0.132619,0.0112587
75,0.134475,0.00860267
78,0.134677,0.0198133
81,0.139541,0.02712
84,0.143056,0.0418827
87,0.154341,0.0227627
90,0.167787,0.0189013
93,0.174299,0.0262987
96,0.170885,0.0411307
99,0.175019,0.0362613
102,0.176544,0.03192
105,0.177264,0.0225067
108,0.180656,0.0179253
111,0.189067,0.0209653
114,0.197899,0.034384
117,0.205989,0.026528
120,0.208443,0.0195253
123,0.210896,0.013712
126,0.212635,0.015984
129,0.215301,0.04472
132,0.219253,0.077552
135,0.220587,0.0833013
138,0.222373,0.057776
141,0.223733,0.06336
144,0.223712,0.0711947
147,0.2224,0.063968
150,0.222976,0.0623413
153,0.222555,0.0531893
156,0.220565,0.0525973
159,0.216933,0.0431413
162,0.214987,0.0136907
165,0.212272,0.00773333
168,0.210453,0.00203733
171,0.207227,0.000714667
174,0.204779,0.00194133
177,0.203179,0.00943467
180,0.201861,9.06667e-05
183,0.201088,6.93333e-05
186,0.199755,0.00229867
189,0.198848,0
192,0.198267,0
195,0.196896,6.4e-05
198,0.19744,0
201,0.197392,0.00488
204,0.197925,0
207,0.197376,5.33333e-05
210,0.197749,0.000101333
213,0.198021,0
216,0.197888,0.00461333
219,0.197691,0
222,0.19752,0
225,0.197776,0
228,0.198315,0
231,0.19824,0
234,0.199445,0
237,0.198773,0.000266667
240,0.195504,0.000517333
243,0.196363,0.00298133
246,0.197184,0.00169067
249,0.197163,0.00256
252,0.196267,0
255,0.196107,0.000842667
258,0.196827,0.00796267
261,0.197221,0.00330667
264,0.196731,0
267,0.197115,0
270,0.196229,0
273,0.196059,0.000245333
276,0.196469,0.00569067
279,0.197755,0.00566933
282,0.200213,0.003456
285,0.204763,0.011584
288,0.205371,0.00947733
291,0.202587,0.006592
294,0.199429,0.006272
297,0.196107,0.00274667
300,0.194192,0.00575467
303,0.193051,0.00314133
306,0.193947,0
309,0.195653,0
312,0.197109,0
315,0.198464,0
318,0.198507,0
321,0.197707,0
324,0.197611,0
327,0.197712,0
330,0.197819,0
333,0.197776,0
336,0.197749,0
339,0.197867,5.33333e-05
342,0.199856,0.000373333
345,0.199851,0.00829867
348,0.202208,0.0159413
351,0.200821,0.019968
354,0.199088,0.0188
357,0.199125,0.027152
360,0.199317,0.0229653
363,0.199264,0.0232907
366,0.199323,0.021632
369,0.19968,0.0206933
372,0.200512,0.02376
375,0.200208,0.023856
378,0.199936,0.0181067
381,0.199232,0.017744
384,0.200608,0.0174507
387,0.204848,0.0151307
390,0.206997,0.0125707
393,0.207776,0.00183467
396,0.210069,0.000208
399,0.211589,0.00024
402,0.212443,0.00176533
405,0.214405,0.007312
408,0.217557,0.00684267
411,0.22576,0.00909333
414,0.235797,0.0195413
417,0.243136,0.044784
420,0.249771,0.0485707
423,0.258635,0.084848
426,0.269515,0.0866027
429,0.278219,0.125984
432,0.286117,0.113691
435,0.29448,0.136869
438,0.299547,0.133445
441,0.302885,0.152341
444,0.306741,0.170085
447,0.309291,0.178469
450,0.317627,0.188571
453,0.323221,0.210955
456,0.3264,0.194517
459,0.328795,0.165877
462,0.330139,0.126144
465,0.333349,0.027568
468,0.333557,0.00684267
471,0.332763,0.00162133
474,0.333109,0
477,0.335877,0
480,0.338171,0
483,0.338827,0
486,0.339477,0
489,0.340363,0
492,0.341147,0
495,0.338347,0
498,0.339957,0
501,0.346059,0.00229867
504,0.357291,0.00317867
507,0.366805,0.008688
