framenum,queue density,dynamic density
3,0.0641376,0.0341409
6,0.0741589,0.149038
9,0.0870682,0.189379
12,0.0914338,0.163241
15,0.0952443,0.124033
18,0.098301,0.131651
21,0.101331,0.150531
24,0.103038,0.119004
27,0.108375,0.128586
30,0.111953,0.131444
33,0.113802,0.135881
36,0.115231,0.133976
39,0.117084,0.13776
42,0.118336,0.12757
45,0.119851,0.120084
48,0.119941,0.106113
51,0.120485,0.106252
54,0.122023,0.106511
57,0.123913,0.115246
60,0.124438,0.147729
63,0.124412,0.142936
66,0.12544,0.13051
69,0.127161,0.13036
72,0.128339,0.119675
75,0.130567,0.136736
78,0.130923,0.136751
81,0.136564,0.133192
84,0.140629,0.135262
87,0.152762,0.151873
90,0.166133,0.163905
93,0.172212,0.1724
96,0.169433,0.205356
99,0.173311,0.190309
102,0.174905,0.148614
105,0.175142,0.145816
108,0.17839,0.152526
111,0.187154,0.16332
114,0.196066,0.173986
117,0.204339,0.205438
120,0.206751,0.202108
123,0.208874,0.198155
126,0.209549,0.186078
129,0.211983,0.200304
132,0.215801,0.177748
135,0.21741,0.207497
138,0.218966,0.203619
141,0.220339,0.18927
144,0.219911,0.18253
147,0.218854,0.191228
150,0.219668,0.179308
153,0.218846,0.155223
156,0.2166,0.192585
159,0.212797,0.205708
162,0.210813,0.196651
165,0.207985,0.204276
168,0.206507,0.174024
171,0.203548,0.146413
174,0.200926,0.167187
177,0.199074,0.199366
180,0.197735,0.200818
183,0.197011,0.153734
186,0.195732,0.151476
189,0.194809,0.139493
192,0.193857,0.127079
195,0.192945,0.130653
198,0.193144,0.120433
201,0.193489,0.116206
204,0.19425,0.115073
207,0.193452,0.116333
210,0.193793,0.115265
213,0.193812,0.112133
216,0.193778,0.105982
219,0.193695,0.112515
222,0.193932,0.120028
225,0.193808,0.126947
228,0.194127,0.126272
231,0.19425,0.122953
234,0.195342,0.124637
237,0.194573,0.134508
240,0.191419,0.122064
243,0.192281,0.142231
246,0.192671,0.136159
249,0.19248,0.1329
252,0.191738,0.131201
255,0.191865,0.140828
258,0.192214,0.139035
261,0.192641,0.137111
264,0.19236,0.136961
267,0.192548,0.129558
270,0.19224,0.123227
273,0.192113,0.122642
276,0.192503,0.122953
279,0.192795,0.118614
282,0.194914,0.127394
285,0.198177,0.143525
288,0.198346,0.14681
291,0.194573,0.143761
294,0.191921,0.134722
297,0.189679,0.145254
300,0.188891,0.135547
303,0.188943,0.138739
306,0.189469,0.136222
309,0.191134,0.128695
312,0.193144,0.140198
315,0.194562,0.144237
318,0.194445,0.14909
321,0.193197,0.112095
324,0.19308,0.117099
327,0.193272,0.110985
330,0.193553,0.114702
333,0.193377,0.117031
336,0.193407,0.116675
339,0.193527,0.122301
342,0.195582,0.123767
345,0.195841,0.130488
348,0.197982,0.136155
351,0.196598,0.145047
354,0.194941,0.147084
357,0.195391,0.154739
360,0.195447,0.14744
363,0.195496,0.141649
366,0.195447,0.136297
369,0.195597,0.145261
372,0.195994,0.151941
375,0.196246,0.161557
378,0.195841,0.145888
381,0.195128,0.143015
384,0.196516,0.15709
387,0.201384,0.153557
390,0.203799,0.156738
393,0.204741,0.166703
396,0.207017,0.1516
399,0.208424,0.153914
402,0.209489,0.139332
405,0.210126,0.163883
408,0.212654,0.172903
411,0.219784,0.149391
414,0.22805,0.210216
417,0.23413,0.192424
420,0.23821,0.227656
423,0.246679,0.185339
426,0.256517,0.215043
429,0.264843,0.223722
432,0.272738,0.202082
435,0.280422,0.250621
438,0.284754,0.276664
441,0.288175,0.249552
444,0.293452,0.2169
447,0.295402,0.307809
450,0.303747,0.277467
453,0.310715,0.312534
456,0.314391,0.312309
459,0.316645,0.28846
462,0.318509,0.286172
465,0.322252,0.29227
468,0.322297,0.294168
471,0.321625,0.159952
474,0.322102,0.283006
477,0.3255,0.181349
480,0.327551,0.183111
483,0.328729,0.181911
486,0.329483,0.225912
489,0.330402,0.182661
492,0.331092,0.178641
495,0.32859,0.219413
