framenum,queue density,dynamic density
3,0.0616165,0.03923
6,0.0746215,0.143915
9,0.0887578,0.0862126
12,0.0931845,0.14588
15,0.0967365,0.154401
18,0.0998171,0.125386
21,0.102845,0.103098
24,0.104478,0.11007
27,0.109602,0.12364
30,0.113667,0.127581
33,0.115296,0.153564
36,0.11677,0.109685
39,0.11858,0.16807
42,0.11947,0.146626
45,0.121023,0.122905
48,0.120937,0.134062
51,0.121416,0.151377
54,0.122226,0.131853
57,0.12344,0.146223
60,0.123693,0.141656
63,0.124383,0.142799
66,0.126193,0.138327
69,0.128018,0.135612
72,0.129108,0.12335
75,0.131351,0.119964
78,0.131608,0.134104
81,0.136592,0.127882
84,0.14065,0.145733
87,0.153485,0.156615
90,0.167572,0.160857
93,0.17488,0.180574
96,0.171648,0.191018
99,0.175732,0.178285
102,0.17678,0.163794
105,0.177531,0.147576
108,0.180117,0.143003
111,0.189518,0.156916
114,0.199057,0.163383
117,0.207617,0.18445
120,0.210045,0.198582
123,0.212047,0.228295
126,0.21293,0.189831
129,0.215215,0.19149
132,0.218488,0.203152
135,0.220354,0.227518
138,0.221712,0.227424
141,0.222888,0.195935
144,0.222632,0.202251
147,0.221195,0.199951
150,0.221938,0.193933
153,0.221169,0.190196
156,0.218631,0.17508
159,0.214905,0.167814
162,0.212722,0.167727
165,0.210068,0.16425
168,0.208194,0.186045
171,0.205381,0.131148
174,0.202376,0.110541
177,0.200581,0.157833
180,0.199167,0.174378
183,0.198786,0.159752
186,0.197195,0.165483
189,0.196795,0.103852
192,0.195686,0.108056
195,0.194559,0.115152
198,0.194876,0.108784
201,0.195079,0.102355
204,0.195739,0.101544
207,0.195174,0.102385
210,0.195381,0.103173
213,0.195747,0.105484
216,0.19543,0.100854
219,0.195309,0.098652
222,0.195502,0.093769
225,0.195626,0.0972342
228,0.196018,0.0977357
231,0.196207,0.0956241
234,0.197217,0.0980336
237,0.196422,0.107083
240,0.193145,0.100187
243,0.194144,0.105228
246,0.194419,0.103984
249,0.194408,0.101899
252,0.193639,0.100236
255,0.193835,0.106276
258,0.194329,0.106868
261,0.194442,0.104625
264,0.194189,0.104621
267,0.194284,0.0954846
270,0.193971,0.100579
273,0.193646,0.103026
276,0.193786,0.111947
279,0.193315,0.0968835
282,0.194977,0.09898
285,0.19727,0.109975
288,0.196802,0.113508
291,0.193575,0.107747
294,0.191388,0.104515
297,0.190343,0.101073
300,0.190411,0.0971324
303,0.190619,0.0991573
306,0.191327,0.0959673
309,0.193028,0.0970758
312,0.194793,0.0965329
315,0.196452,0.0978828
318,0.196222,0.0978639
321,0.19503,0.0932071
324,0.195445,0.0962463
327,0.195226,0.093686
