framenum,queue density,dynamic density
6,0.0760577,0.0844206
9,0.089446,0.0437561
3,0.0634791,0.0248013
15,0.0978392,0.0642738
21,0.103932,0.0534663
12,0.0938735,0.0566904
24,0.105812,0.0326307
18,0.100768,0.0725535
30,0.114879,0.0650496
36,0.118368,0.108386
39,0.12026,0.10993
27,0.110982,0.0451979
33,0.116715,0.0952585
45,0.123015,0.0948498
51,0.123503,0.0740521
54,0.124885,0.0419587
42,0.121354,0.102358
66,0.128279,0.029698
48,0.122909,0.0851472
60,0.127098,0.0299326
69,0.130269,0.0281049
81,0.140006,0.0309544
57,0.126905,0.0294293
63,0.127125,0.0325324
75,0.133902,0.0179596
96,0.172852,0.0674185
72,0.131541,0.0179899
84,0.14415,0.0404299
78,0.134273,0.0247786
87,0.156618,0.0571066
90,0.169526,0.0568985
111,0.191187,0.0685613
99,0.176864,0.0538371
102,0.178438,0.0405585
93,0.176114,0.0558503
105,0.178828,0.0420798
117,0.208605,0.09958
126,0.213967,0.0824869
114,0.200095,0.0741769
132,0.220431,0.102236
108,0.18173,0.0568834
120,0.21069,0.113294
129,0.216673,0.0875312
141,0.224915,0.0864754
147,0.22328,0.0826232
123,0.21312,0.113218
135,0.222281,0.109131
156,0.220635,0.063517
144,0.224805,0.0831984
162,0.215231,0.0494551
159,0.216964,0.0643003
171,0.207689,0.0282449
150,0.223711,0.087728
138,0.223677,0.0935442
186,0.199508,0.00906683
177,0.202948,0.0171611
174,0.204923,0.0128775
165,0.211965,0.0552486
192,0.197707,0.00475289
153,0.222981,0.0719216
180,0.201536,0.00624007
201,0.19734,0.0112351
189,0.198891,0.00504806
168,0.210486,0.0450352
207,0.197336,0.00806781
204,0.197839,0.00357981
216,0.197624,0.0147355
195,0.196462,0.00614925
183,0.201056,0.00546432
231,0.198339,0.00589949
210,0.19762,0.00790509
219,0.197563,0.00548324
222,0.197677,0.00530917
246,0.196159,0.00699311
225,0.197813,0.0049194
198,0.196901,0.00581624
237,0.19852,0.00578218
234,0.199459,0.00543783
261,0.196477,0.00849542
240,0.195364,0.00605086
213,0.197923,0.00553621
252,0.19552,0.00475289
276,0.195871,0.0112276
249,0.196008,0.00810565
267,0.196519,0.00558541
255,0.195667,0.00602437
228,0.198373,0.00459774
291,0.197586,0.0198895
264,0.196265,0.00564974
282,0.197926,0.013517
243,0.195966,0.00811701
306,0.193113,0.00494589
279,0.196008,0.0110535
270,0.195819,0.00482101
297,0.192965,0.0123098
258,0.196201,0.0132407
321,0.19709,0.0056346
312,0.196999,0.00547188
285,0.201476,0.0218421
294,0.194721,0.010327
336,0.197279,0.00454477
273,0.195641,0.00659199
327,0.197298,0.00798456
300,0.192394,0.00679634
351,0.200375,0.0313668
309,0.19516,0.00825702
288,0.201271,0.0209831
342,0.199459,0.00508968
366,0.199315,0.0277643
315,0.198536,0.00659956
303,0.192507,0.00743964
