framenum,queue density,dynamic density
3,0.0659625,0.0284546
9,0.0881096,0.0456575
6,0.0753721,0.0851646
12,0.0927895,0.053922
18,0.0999931,0.0711977
15,0.0965809,0.0619375
21,0.103034,0.050077
24,0.105133,0.034628
27,0.110264,0.045309
30,0.114197,0.0674101
33,0.116101,0.0837744
36,0.117748,0.1082
39,0.119605,0.109127
42,0.12085,0.103271
48,0.122381,0.0863824
45,0.122573,0.0949035
51,0.123132,0.0749087
57,0.126985,0.0310205
54,0.124714,0.0432793
60,0.127065,0.0314417
66,0.126613,0.0315987
63,0.126242,0.0281827
69,0.128819,0.0283703
75,0.131982,0.0177583
78,0.13317,0.02361
72,0.129895,0.0174366
84,0.14377,0.0400662
87,0.155727,0.055856
81,0.139397,0.0293239
93,0.174975,0.0562313
90,0.168652,0.0532748
96,0.171715,0.0648174
102,0.176954,0.0396449
99,0.175626,0.0644153
105,0.177625,0.0415138
111,0.189045,0.0666097
108,0.18047,0.0573572
120,0.208216,0.111452
114,0.197937,0.0731355
117,0.205781,0.0995604
129,0.212858,0.0875543
126,0.211054,0.0941107
123,0.210261,0.111574
138,0.221,0.0927205
135,0.21928,0.0997365
132,0.216795,0.09732
147,0.220789,0.0803545
144,0.222359,0.08086
141,0.222309,0.0860148
156,0.218625,0.064243
153,0.220969,0.0727985
150,0.221471,0.0893274
162,0.213122,0.0490698
165,0.209986,0.0545845
159,0.215106,0.0645149
171,0.205512,0.0280678
174,0.202816,0.0135801
168,0.20853,0.0430916
180,0.199435,0.00767086
183,0.198933,0.00814957
189,0.197114,0.00593984
177,0.200936,0.0183787
192,0.195911,0.00571006
198,0.195398,0.00632281
186,0.197508,0.0119984
201,0.195758,0.0114967
195,0.194709,0.00667131
207,0.195578,0.00714619
204,0.196229,0.0070045
210,0.196103,0.00778192
216,0.196049,0.0132737
225,0.195908,0.00491732
213,0.196337,0.00716151
219,0.195911,0.00763639
228,0.196478,0.00519688
234,0.197738,0.0061926
222,0.1959,0.0065794
231,0.196509,0.00777426
237,0.196972,0.00695088
243,0.194406,0.0102291
240,0.193476,0.00815723
246,0.194594,0.0087853
252,0.194073,0.00628834
255,0.194203,0.00812659
249,0.194674,0.00842531
