framenum,queue density,dynamic density
6,0.0733983,0.0938379
3,0.0648442,0.0291694
9,0.0862707,0.0440794
18,0.0975317,0.0721683
12,0.09063,0.0554488
15,0.0944136,0.0653676
21,0.100339,0.0516428
30,0.111141,0.0662985
27,0.107293,0.0452159
24,0.102351,0.0338989
33,0.11289,0.0909852
42,0.11753,0.103188
39,0.116416,0.11077
45,0.119216,0.0951053
36,0.114476,0.106011
51,0.119814,0.0732151
48,0.119227,0.084764
57,0.124484,0.0361496
54,0.121762,0.0433129
63,0.125064,0.0306985
69,0.127404,0.0294797
60,0.125673,0.0395892
66,0.125561,0.0365122
75,0.130735,0.0191609
72,0.128503,0.0194413
81,0.136433,0.0336297
78,0.131053,0.0249634
87,0.152053,0.0597259
90,0.165172,0.0576808
93,0.171315,0.0600511
84,0.140407,0.0427895
99,0.171932,0.0590641
102,0.173439,0.0434475
105,0.174063,0.042954
96,0.1681,0.0671809
111,0.185877,0.0671285
114,0.194712,0.0779895
117,0.202874,0.100082
108,0.17689,0.0578565
126,0.208541,0.0969522
123,0.20733,0.112359
129,0.211263,0.0866708
120,0.205128,0.111552
135,0.216281,0.103925
138,0.218042,0.0964288
132,0.214699,0.103547
141,0.219249,0.0840686
147,0.217892,0.0800495
150,0.218711,0.0878746
144,0.219189,0.0816983
153,0.218176,0.0711252
159,0.212404,0.0645974
162,0.210209,0.0500688
156,0.215858,0.0642609
165,0.207532,0.0556731
171,0.202728,0.0286236
174,0.200219,0.0125135
177,0.198346,0.0170822
168,0.205868,0.0428942
183,0.196525,0.00846818
189,0.194503,0.00776904
180,0.196892,0.00847939
186,0.194992,0.0119265
201,0.19291,0.0131042
195,0.192091,0.00765688
198,0.192626,0.00710729
192,0.193699,0.00731665
213,0.193744,0.00784755
207,0.192839,0.00860277
210,0.193321,0.00954119
204,0.193527,0.00761949
225,0.193317,0.00764192
219,0.193175,0.00786251
222,0.193213,0.00762697
237,0.194361,0.00849809
216,0.193329,0.0152502
231,0.193807,0.00894299
249,0.192487,0.0091561
228,0.193676,0.00744751
234,0.195105,0.00820273
243,0.191938,0.0112086
240,0.1911,0.00952249
246,0.192435,0.00828498
261,0.192514,0.0121583
258,0.192132,0.0146146
255,0.191687,0.00738021
273,0.191646,0.00751854
252,0.191657,0.00709981
270,0.191788,0.00868876
285,0.198888,0.0211947
264,0.192136,0.00806066
282,0.194876,0.0159194
267,0.19248,0.008528
297,0.189938,0.0114143
276,0.191904,0.0127714
294,0.192779,0.0156278
279,0.192738,0.0137173
309,0.190996,0.00659882
306,0.189033,0.00612027
288,0.199374,0.0242642
321,0.193254,0.00789989
291,0.195729,0.0256961
300,0.188827,0.0102515
318,0.194361,0.00772043
333,0.193317,0.00644927
303,0.188547,0.00750733
312,0.192745,0.00702503
330,0.193445,0.00729048
324,0.193321,0.00574266
345,0.195258,0.0132163
315,0.194312,0.00752976
336,0.193332,0.00705868
342,0.195213,0.0063745
357,0.194768,0.0312444
327,0.19334,0.00684932
348,0.197393,0.0203348
354,0.194364,0.0316183
369,0.194895,0.0303583
339,0.19337,0.00800831
366,0.194622,0.0290386
360,0.194701,0.0296293
381,0.194918,0.0267467
351,0.196028,0.0284553
378,0.195415,0.0275281
372,0.195976,0.0305789
393,0.204066,0.020047
363,0.194521,0.0287582
390,0.203165,0.0329119
384,0.196394,0.0222042
405,0.209319,0.0443037
402,0.208429,0.0170036
375,0.195991,0.0293489
396,0.206268,0.0191796
387,0.200847,0.026743
414,0.228401,0.0827451
417,0.234727,0.10311
408,0.211843,0.0486406
426,0.259354,0.161123
399,0.207596,0.0186973
429,0.267684,0.165266
438,0.288355,0.190151
420,0.239883,0.118139
441,0.291593,0.217888
411,0.219122,0.06831
450,0.307019,0.223107
432,0.275573,0.157093
453,0.313151,0.226461
423,0.248942,0.142101
462,0.320602,0.179981
435,0.284086,0.160637
465,0.324266,0.111492
444,0.296517,0.222906
474,0.323806,0.00835975
477,0.326924,0.00699512
456,0.316672,0.222423
447,0.298039,0.225814
486,0.331014,0.00776904
489,0.331728,0.00809431
468,0.323907,0.0483939
459,0.31926,0.212048
498,0.331089,0.00595576
480,0.328995,0.00815786
501,0.337392,0.00976551
471,0.323398,0.0160989
510,0.36968,0.0342914
492,0.332349,0.00735404
513,0.374181,0.0567461
483,0.330233,0.00806813
522,0.385996,0.0725983
504,0.348515,0.0262009
495,0.330012,0.00599689
525,0.389981,0.0754285
534,0.397017,0.0798813
507,0.358292,0.042225
537,0.399993,0.0789615
516,0.376638,0.069712
546,0.403601,0.0844761
519,0.380253,0.0720487
549,0.405755,0.075993
528,0.392736,0.0771034
558,0.402509,0.0563124
561,0.399631,0.00962344
531,0.393847,0.0766697
540,0.400902,0.0765875
570,0.391334,0.0107077
573,0.396382,0.0110292
543,0.403194,0.0811001
552,0.405575,0.0630197
582,0.41623,0.0255877
585,0.420837,0.0273823
555,0.403328,0.0609933
564,0.397758,0.0109357
594,0.431324,0.0486668
597,0.432225,0.0514559
567,0.396352,0.00795597
609,0.450137,0.0682875
576,0.40301,0.0172429
606,0.444921,0.0641525
621,0.473115,0.0442738
588,0.424856,0.0364449
579,0.409355,0.0236473
618,0.466374,0.0563349
633,0.491236,0.0410099
600,0.436644,0.0532841
591,0.429559,0.0443635
630,0.488556,0.0433092
645,0.494097,0.0180654
603,0.440383,0.064803
642,0.494321,0.0305602
612,0.456358,0.078296
657,0.509926,0.0133435
654,0.506094,0.0128163
615,0.462344,0.0663509
669,0.524683,0.0064904
624,0.478749,0.0399967
666,0.521587,0.00657265
627,0.484028,0.0414922
681,0.529218,0.0079971
636,0.493151,0.0410211
639,0.494631,0.0360486
693,0.534262,0.00704747
678,0.527696,0.00881588
648,0.497678,0.0133621
651,0.502127,0.0138818
705,0.535222,0.00726431
690,0.532964,0.00722319
663,0.518028,0.00951875
660,0.513392,0.0151605
717,0.538483,0.00759332
702,0.534247,0.00613522
675,0.525188,0.00775408
672,0.523759,0.00778399
729,0.531701,0.00568658
687,0.531686,0.00787372
714,0.538311,0.00827002
684,0.530919,0.00742881
741,0.52696,0.0068381
699,0.534366,0.00617635
726,0.532359,0.00575013
753,0.522268,0.00634085
696,0.532284,0.00726805
711,0.536763,0.00681193
765,0.521217,0.00647918
738,0.527909,0.00635581
708,0.535907,0.00643058
777,0.512857,0.00686053
723,0.532235,0.00517811
750,0.522619,0.00647918
789,0.516491,0.00679323
735,0.529685,0.00691287
720,0.531185,0.00689792
801,0.533372,0.0241147
762,0.522339,0.00603428
732,0.531386,0.00578752
747,0.522507,0.00756715
774,0.51196,0.00743255
813,0.543556,0.0059782
744,0.526844,0.00652031
786,0.51411,0.00569032
759,0.522316,0.00590342
825,0.558272,0.00562302
756,0.522152,0.00566041
837,0.559416,0.007369
771,0.511059,0.00666986
798,0.529009,0.025427
768,0.519774,0.00622495
783,0.514215,0.00723066
849,0.559599,0.00638572
810,0.539765,0.00593333
795,0.523767,0.019546
861,0.560735,0.00776156
822,0.55638,0.00649788
780,0.513923,0.00637824
807,0.537933,0.0298386
792,0.519669,0.0119003
873,0.560776,0.00576883
834,0.560747,0.00650535
819,0.550536,0.00607166
804,0.536606,0.0280852
885,0.560653,0.00598941
831,0.561797,0.00720075
846,0.558687,0.0066736
816,0.547523,0.00549964
828,0.56069,0.00777278
897,0.563558,0.00617261
843,0.559475,0.00623243
858,0.560537,0.00716337
909,0.561528,0.00583612
840,0.559143,0.00789615
870,0.55884,0.00785877
921,0.553587,0.0096683
855,0.560646,0.00714093
852,0.559954,0.00775034
933,0.549788,0.0051482
882,0.560414,0.00688296
867,0.561618,0.0071858
864,0.561233,0.00788494
945,0.558275,0.00652779
879,0.562339,0.00662499
894,0.561853,0.00708859
876,0.561285,0.00693157
957,0.555707,0.00650162
891,0.56093,0.00779147
906,0.559737,0.00665116
888,0.56038,0.0073503
969,0.558593,0.00580248
903,0.563779,0.0063072
918,0.555834,0.00798214
900,0.56425,0.00607914
981,0.560803,0.0067895
915,0.559431,0.00837845
930,0.548921,0.00657639
912,0.561681,0.00724188
993,0.561262,0.00654648
927,0.552312,0.00712972
924,0.552637,0.00736152
942,0.5582,0.00661378
1005,0.554353,0.00601558
939,0.554727,0.00689418
936,0.551841,0.0073017
1017,0.554869,0.0057464
954,0.557894,0.00583239
948,0.558627,0.00587725
951,0.558186,0.00670351
1029,0.554312,0.00448645
966,0.558118,0.00565293
963,0.557258,0.00575761
960,0.55638,0.00555198
1041,0.554185,0.00548095
978,0.562623,0.00725683
975,0.561453,0.00712972
972,0.560309,0.00656891
990,0.561292,0.00549216
1053,0.556567,0.00558563
987,0.56155,0.00660256
984,0.561752,0.00858781
1065,0.551048,0.00787372
1002,0.55755,0.00509212
999,0.559662,0.00663621
996,0.561969,0.00645675
1077,0.553187,0.00585482
1014,0.556843,0.00859155
1011,0.55638,0.0109881
1008,0.554537,0.0054473
1089,0.551863,0.0048005
1026,0.554305,0.00533514
1023,0.554679,0.00476312
1101,0.555038,0.0116087
1020,0.554406,0.00995992
1038,0.553636,0.00515568
1035,0.554768,0.00795597
1113,0.553665,0.00678202
1050,0.556365,0.00566041
1032,0.554241,0.00481546
1125,0.553707,0.00599315
1047,0.557165,0.00663247
1044,0.555849,0.00668107
1062,0.551228,0.00560059
1137,0.55546,0.0232249
1059,0.556114,0.00798588
1056,0.556342,0.00739517
1074,0.552091,0.0101431
1149,0.556417,0.0142819
1071,0.551172,0.00548469
1086,0.550364,0.00543608
