framenum,queue density,dynamic density
3,0.0658167,0.0418333
6,0.0739917,0.0222083
9,0.08605,0.0354667
12,0.09065,0.0221167
15,0.094425,0.0506417
18,0.0977417,0.0328583
21,0.100842,0.009175
24,0.103083,0.00795833
27,0.107933,0.0134667
30,0.111717,0.0421833
33,0.11405,0.0346917
36,0.115558,0.0345333
39,0.117883,0.113283
42,0.119342,0.1087
45,0.120942,0.096275
48,0.121192,0.0512917
51,0.121925,0.0216583
54,0.124792,0.0175583
57,0.1281,0.0112583
60,0.1307,0.0223083
63,0.129633,0.0171583
66,0.128592,0.0262833
69,0.12995,0.0267417
72,0.131025,0.0217583
75,0.133408,0.0222333
78,0.133725,0.0199667
81,0.139625,0.0196667
84,0.143442,0.0197917
87,0.154642,0.0260917
90,0.167292,0.0405417
93,0.173342,0.0581417
96,0.16995,0.0494583
99,0.173442,0.0396917
102,0.175092,0.0451
105,0.175575,0.0368
108,0.178583,0.033075
111,0.186967,0.045275
114,0.195617,0.0716333
117,0.203183,0.0744167
120,0.206383,0.0860583
123,0.20855,0.0669167
126,0.210258,0.0811167
129,0.212975,0.0877417
132,0.216958,0.0778833
135,0.218392,0.049075
138,0.22035,0.0512833
141,0.221775,0.065675
144,0.2218,0.0577167
147,0.2205,0.05315
150,0.221575,0.04495
153,0.220458,0.0249833
156,0.218817,0.0118333
159,0.2151,0.00548333
162,0.213383,3.33333e-05
165,0.210742,0.000233333
168,0.2089,0
171,0.205875,0
174,0.2039,0
177,0.20155,0
180,0.200392,0
183,0.199525,0
186,0.1981,0
189,0.197375,0
192,0.196642,0
195,0.195575,0
198,0.195867,0
201,0.195833,0.000516667
204,0.196533,0
207,0.195667,0
210,0.196067,0
213,0.196675,0
216,0.196358,0
219,0.196042,0
222,0.196233,0
225,0.195908,0
228,0.196483,0
231,0.196667,0
234,0.197867,0
237,0.197133,0.000266667
240,0.193617,0
243,0.194667,0.00261667
246,0.195592,0.000666667
249,0.195533,0.00143333
252,0.195008,0
255,0.1947,0.000258333
258,0.195317,0.00496667
261,0.195483,0.000266667
264,0.195025,0
267,0.195383,0
270,0.195058,0
273,0.194692,0
276,0.194933,0
279,0.196742,0.005575
282,0.199525,0.000475
285,0.203908,0.0123417
288,0.204633,0.016425
291,0.202175,0.00610833
294,0.198683,0.003725
297,0.195525,0.000625
300,0.193025,0.00408333
303,0.191817,0.00501667
306,0.192642,0
309,0.194375,0
312,0.195542,0
315,0.197242,0
318,0.197108,0
321,0.196275,0
324,0.1959,0
327,0.195808,0
330,0.1959,0
333,0.196192,0
336,0.196142,0
339,0.196233,0
342,0.198158,0
345,0.1977,0.00675833
348,0.199825,0.0137917
351,0.198675,0.0140917
354,0.196883,0.016275
357,0.197258,0.0259167
360,0.1972,0.0252417
363,0.197275,0.0262167
366,0.197533,0.0255667
369,0.197825,0.0255583
372,0.198217,0.0250333
375,0.198275,0.0243833
378,0.197883,0.0178667
381,0.197292,0.016425
384,0.198767,0.0142917
387,0.2029,0.00535
390,0.205117,0.00845833
393,0.205925,0.0009
396,0.208467,0.000266667
399,0.209817,0
402,0.210642,0.000308333
405,0.21295,0.00285833
408,0.216658,0.00615
411,0.225675,0.00148333
414,0.235892,0.0200833
417,0.243492,0.0683917
420,0.250333,0.109325
423,0.260133,0.13215
426,0.271667,0.149967
429,0.280483,0.15545
432,0.288558,0.155408
435,0.296742,0.153975
438,0.302525,0.1468
441,0.305483,0.176233
444,0.309367,0.192133
447,0.311825,0.220925
450,0.3192,0.198933
453,0.325033,0.178633
456,0.327608,0.15425
459,0.330108,0.10065
462,0.331842,0.0199917
465,0.334792,0.000758333
468,0.3351,0.000808333
471,0.334575,0
474,0.334975,0
477,0.33785,0
480,0.340467,0
483,0.341333,0
486,0.341658,0
489,0.342775,0.00574167
492,0.343283,0.00718333
495,0.340533,0
498,0.342042,0
501,0.348267,0.000483333
504,0.358783,0
507,0.368608,0.0077
510,0.37895,0.00885833
513,0.383933,0.0377167
516,0.386017,0.034975
519,0.3902,0.0608917
522,0.396333,0.0651167
525,0.400642,0.0662917
528,0.404042,0.0705583
531,0.405042,0.0537167
534,0.408283,0.04295
537,0.411542,0.0483333
540,0.412525,0.05235
543,0.414625,0.078025
546,0.415175,0.0712667
549,0.417283,0.0536917
552,0.417433,0.0295333
555,0.41545,0
558,0.415092,0
561,0.411375,0.00489167
564,0.4102,0
567,0.409283,0
570,0.403675,0.00578333
573,0.408133,0.0118333
576,0.41495,0.0124833
579,0.420325,0.0178417
582,0.427075,0.0216583
585,0.4312,0.0228083
588,0.434992,0.0339333
591,0.439083,0.03855
594,0.4409,0.0396333
597,0.442583,0.039375
600,0.446442,0.027
603,0.4499,0.0272417
606,0.454625,0.0015
609,0.459267,0.00125
612,0.464792,0.00833333
615,0.470492,0
618,0.474625,0.000191667
621,0.481992,0
624,0.487392,0
627,0.492333,0
630,0.497058,0
633,0.500217,0
636,0.501933,0
639,0.503217,0
642,0.502842,0.0048
645,0.502575,0
648,0.506008,0
651,0.509783,0
654,0.513675,0
657,0.516658,0
660,0.520592,0.0064
663,0.5248,0.00643333
666,0.527825,0
669,0.530908,0
672,0.530233,0.00518333
675,0.531375,0
678,0.533558,0
681,0.535267,0.00651667
684,0.5375,0
687,0.537483,0
690,0.538967,0
693,0.540267,0.00744167
696,0.537358,0
699,0.54,0.0061
702,0.5397,0.003825
705,0.540342,0
708,0.54195,0
711,0.542408,0.0057
714,0.543792,0
717,0.543708,0.00519167
720,0.536783,0
723,0.538308,0
726,0.5381,0
729,0.537775,0.00455833
732,0.5378,0.00485833
735,0.535317,0
738,0.53375,0
741,0.532483,0
744,0.532167,0
747,0.528075,0
750,0.528483,0.00696667
753,0.527875,0
756,0.527517,0
759,0.527858,0
762,0.5277,0
765,0.5267,0
768,0.524883,0
771,0.5167,0
774,0.517725,0
777,0.518867,0
780,0.519717,0
783,0.519817,0
786,0.520117,0
789,0.522,0
792,0.525075,0.015775
795,0.529575,0.0124167
798,0.5348,0.0149333
801,0.538458,0.00824167
804,0.541817,0
807,0.543058,0.00501667
810,0.544842,0
813,0.548367,0
816,0.551933,0.008425
819,0.554733,0.00784167
822,0.560475,0
825,0.561933,0
828,0.564258,0
831,0.565217,0.00354167
834,0.564333,0
837,0.563467,0
840,0.563225,0
843,0.5633,0
846,0.56275,0
849,0.563625,0.00499167
852,0.563692,0.00569167
855,0.564325,0
858,0.564133,0
861,0.564092,0.00555833
864,0.564808,0
867,0.564633,0.002375
870,0.562392,0.00641667
873,0.564558,0.00603333
876,0.565092,0
879,0.566342,0.00521667
882,0.56425,0.00461667
885,0.564183,0
888,0.563608,2.5e-05
891,0.5639,0
894,0.565125,0
897,0.566475,0.00486667
900,0.567333,0
903,0.567167,0.00558333
906,0.563442,0
909,0.56505,0.00498333
912,0.56465,0
915,0.562733,0
918,0.558758,0.0001
921,0.557183,0.00645833
924,0.556383,0
927,0.555992,0.0051
930,0.552475,0.00620833
933,0.553458,0.00631667
936,0.55505,0
939,0.558158,0.00725833
942,0.561417,0
945,0.561717,0
948,0.561908,0
951,0.561425,0.00571667
954,0.561233,0
957,0.560292,0
960,0.5602,0
963,0.561067,0
966,0.56115,0
969,0.562325,0.00469167
