framenum,queue density,dynamic density
3,0.0644896,0.0460806
6,0.0737636,0.0542532
9,0.0872893,0.028525
12,0.0917139,0.0773912
15,0.0953303,0.0718614
18,0.0985331,0.0490203
21,0.101379,0.0299723
24,0.10327,0.0493587
27,0.108183,0.0449453
30,0.112164,0.0491369
33,0.113987,0.0524939
36,0.115521,0.0517871
39,0.117295,0.0669068
42,0.118506,0.054178
45,0.120329,0.0805528
48,0.120303,0.0823158
51,0.120897,0.0440845
54,0.122329,0.060298
57,0.124468,0.0668428
60,0.125321,0.0476783
63,0.125389,0.0547081
66,0.126615,0.0566365
69,0.12828,0.0365623
72,0.129193,0.0382088
75,0.131472,0.0557005
78,0.131629,0.0500579
81,0.136704,0.0424981
84,0.140411,0.0574034
87,0.152565,0.0448401
90,0.16556,0.0525277
93,0.172575,0.0342466
96,0.169131,0.0498662
99,0.173139,0.0433101
102,0.174612,0.0429981
105,0.175203,0.051024
108,0.177593,0.0445243
111,0.186492,0.0639783
114,0.195506,0.0529262
117,0.2041,0.0600988
120,0.206408,0.0706171
123,0.20884,0.0585011
126,0.209739,0.0652151
129,0.212239,0.0640046
132,0.215896,0.100537
135,0.217407,0.114311
138,0.21928,0.0908117
141,0.220268,0.0717524
144,0.22037,0.100398
147,0.219013,0.110694
150,0.219674,0.106187
153,0.218971,0.0984429
156,0.216543,0.0905373
159,0.21299,0.0875412
162,0.211036,0.0838383
165,0.208291,0.0901914
168,0.206299,0.0732185
171,0.203472,0.0606627
174,0.201066,0.0558546
177,0.199235,0.100789
180,0.197976,0.0386599
183,0.197322,0.0677
186,0.195687,0.0498962
189,0.19519,0.0265326
192,0.194514,0.036254
195,0.192894,0.0396148
198,0.1933,0.0389043
201,0.193581,0.0302505
204,0.194224,0.029416
207,0.193645,0.0271191
210,0.194108,0.0337616
213,0.194209,0.02801
216,0.193912,0.0267432
219,0.193961,0.0300062
222,0.19419,0.0299911
225,0.193927,0.0264499
228,0.194307,0.0274311
231,0.19451,0.0271792
234,0.19554,0.0284611
237,0.194837,0.0275777
240,0.191469,0.0295287
243,0.19242,0.0367502
246,0.192912,0.0332466
249,0.192961,0.0390621
252,0.192375,0.0280213
255,0.192506,0.0279687
258,0.19289,0.0296566
261,0.19316,0.0331301
264,0.192897,0.0330662
267,0.193209,0.0293483
270,0.192623,0.0252094
273,0.192484,0.0298558
276,0.192548,0.0292092
279,0.192811,0.0320211
282,0.194732,0.0330211
285,0.198032,0.0373367
288,0.198735,0.0374833
291,0.195025,0.0355585
294,0.192228,0.0324685
297,0.189849,0.0386749
300,0.189352,0.0345811
303,0.189285,0.0349082
306,0.190014,0.0357916
309,0.191702,0.0470054
312,0.193566,0.0471558
315,0.19492,0.0285701
318,0.195081,0.0282243
321,0.193972,0.0316565
324,0.193961,0.0277168
327,0.193871,0.0244951
330,0.194277,0.0246455
333,0.193942,0.0271078
336,0.194051,0.0234426
339,0.194097,0.0290062
342,0.195848,0.0269913
345,0.195957,0.0349308
348,0.198502,0.0412763
351,0.197002,0.0369946
354,0.195397,0.0480467
357,0.195627,0.0516405
360,0.195713,0.0507158
363,0.195724,0.0442461
366,0.195826,0.0360773
369,0.195875,0.0373329
372,0.196559,0.048355
375,0.196664,0.0414906
378,0.196217,0.0376186
381,0.195619,0.0353856
384,0.196664,0.0429981
387,0.201107,0.0456897
390,0.204013,0.0441597
393,0.205152,0.0452536
396,0.207397,0.02801
399,0.208754,0.0304686
402,0.209483,0.0336639
405,0.210389,0.0325399
408,0.21263,0.0295964
411,0.219603,0.0467385
414,0.228264,0.0640986
417,0.23385,0.0488136
420,0.238512,0.0689819
423,0.246493,0.0695081
426,0.256101,0.074865
429,0.264345,0.0614859
432,0.271852,0.0858683
435,0.279837,0.10071
438,0.284389,0.0887554
441,0.287119,0.0850112
444,0.292739,0.121555
447,0.294303,0.0963566
450,0.303065,0.168575
453,0.309828,0.150264
456,0.31414,0.169237
459,0.316354,0.163474
462,0.318441,0.117404
465,0.321959,0.112871
468,0.322087,0.100052
471,0.320955,0.12137
474,0.321651,0.0787972
477,0.32467,0.0671173
480,0.327053,0.0559148
483,0.328474,0.0820564
486,0.32903,0.0460769
489,0.329797,0.0422913
492,0.330466,0.0380847
495,0.327737,0.0411786
498,0.32912,0.0444003
501,0.334564,0.0465768
504,0.345879,0.0456333
507,0.355841,0.0611551
510,0.366837,0.0547156
513,0.371694,0.070245
516,0.374175,0.0492572
519,0.377893,0.0552156
522,0.383704,0.0485768
525,0.38758,0.0547757
528,0.390324,0.062422
531,0.391678,0.0614108
534,0.394986,0.0558058
537,0.397629,0.056629
540,0.39882,0.0625874
543,0.401313,0.0669368
546,0.401493,0.0695908
549,0.403805,0.0638881
552,0.403775,0.0613844
555,0.401568,0.0763875
558,0.40067,0.0723915
561,0.397719,0.0598996
564,0.396196,0.0704555
567,0.394862,0.0710645
570,0.388697,0.0445205
573,0.39373,0.0490467
576,0.40088,0.0462498
579,0.406963,0.0501895
582,0.414132,0.0478963
585,0.419045,0.0520014
588,0.422898,0.0585951
591,0.42768,0.0495617
594,0.429669,0.0877366
597,0.43068,0.0793874
600,0.435589,0.0525127
603,0.438819,0.090323
606,0.443454,0.0874246
609,0.448649,0.0976422
612,0.455134,0.104356
615,0.461193,0.0962438
618,0.464941,0.0852255
621,0.471764,0.0868457
624,0.477328,0.0674143
627,0.482944,0.0789175
630,0.487576,0.0770492
633,0.490583,0.0900523
636,0.493109,0.0690458
639,0.494722,0.0657903
642,0.494436,0.0544975
645,0.493786,0.0473926
648,0.496538,0.0725494
651,0.500793,0.0340361
654,0.505045,0.0369156
657,0.508988,0.0771582
660,0.512477,0.0602379
663,0.517338,0.0398629
666,0.521007,0.0368818
669,0.52427,0.0946724
672,0.522879,0.0360736
675,0.524476,0.104033
678,0.527003,0.0983527
681,0.528845,0.0356412
684,0.53063,0.0499075
687,0.531446,0.0969242
690,0.532912,0.0505955
693,0.53425,0.0375585
696,0.531469,0.0374532
699,0.533893,0.0419267
702,0.53404,0.0368856
705,0.534908,0.0388892
708,0.535867,0.0402501
711,0.536562,0.0413891
714,0.537788,0.0413628
717,0.538021,0.0338293
720,0.530081,0.0298896
723,0.531867,0.0295814
726,0.531799,0.0278972
729,0.531296,0.0292994
732,0.531066,0.0286604
735,0.52945,0.0311715
738,0.527525,0.0375472
741,0.526732,0.0373818
744,0.526574,0.0375472
747,0.521649,0.0362991
750,0.522074,0.0363066
753,0.522127,0.0357916
756,0.521585,0.0380434
759,0.5218,0.0374833
762,0.521649,0.0370735
765,0.520405,0.0376938
768,0.518751,0.0379494
771,0.510556,0.0447386
774,0.511672,0.0419192
777,0.512372,0.0424417
780,0.513447,0.0408139
783,0.513954,0.0393629
786,0.51383,0.0377013
789,0.515172,0.0347578
792,0.518529,0.0358255
795,0.522875,0.0343406
798,0.528115,0.0313144
801,0.532863,0.0442499
804,0.536235,0.0369495
807,0.537209,0.0396862
810,0.5396,0.0300212
813,0.543028,0.0298708
816,0.547054,0.029243
819,0.549926,0.0292994
822,0.55605,0.0328293
825,0.558027,0.0326752
828,0.560422,0.0348105
831,0.561587,0.0413666
834,0.560384,0.0348067
837,0.559268,0.0344571
840,0.558952,0.0272469
843,0.559411,0.0322993
846,0.558208,0.0378705
849,0.559182,0.0381411
852,0.559321,0.0377201
855,0.560114,0.0365886
858,0.560024,0.0405395
861,0.560223,0.0355134
864,0.560809,0.034115
867,0.560982,0.0382727
870,0.558704,0.0324459
873,0.56055,0.0351826
876,0.561065,0.0322843
879,0.562313,0.0274875
882,0.560625,0.031055
885,0.560813,0.0306828
888,0.560531,0.031273
891,0.56064,0.0321903
894,0.561742,0.0292543
897,0.563234,0.0295175
900,0.564057,0.0251455
903,0.563448,0.0261342
906,0.559129,0.0298257
909,0.561181,0.0297355
912,0.561031,0.029525
915,0.559024,0.0300212
918,0.555234,0.0294761
921,0.552945,0.0304986
924,0.552453,0.0263935
927,0.551821,0.0266567
930,0.549126,0.0246831
933,0.5499,0.0248523
